name,releasedate,copiessold,price,revenue,avgplaytime,reviewscore,publisherclass,publishers,developers,steamid
Yet Another Fantasy Title (YAFT),2024-04-10,2557,19.99,31754.0,2.8679573315310183,61,Indie,"Atomic Wolf,Games Operators",Atomic Wolf,1993450
GHOSTWARE: Arena of the Dead,2024-06-10,2758,14.99,31678.0,2.716453630347715,85,Indie,Mothership Loudspeakerz,Daev Team,1893370
西游-琉璃盏,2024-07-11,2563,14.99,31644.0,8.225275653716226,85,Indie,Dark Dimension,Dark Dimension,1309510
Parfait Remake,2024-07-19,1254,34.99,31543.0,6.345430251028448,90,Indie,HIKARI PULSE,"GIGA,Entergram",2947220
Only Up: SKIBIDI TOGETHER,2024-07-12,8729,4.99,31466.0,2.364922886217591,81,Indie,"Rosa Special Studio,Grand Technology Associates","Grand Technology Associates,Rosa Special Studio",2928650
希望之城 The City Of Hope,2024-03-04,5701,6.99,31464.0,13.97846301423298,71,Indie,家里蹲工作室,家里蹲工作室,2424740
DEFENDUN : Hero Defense,2024-02-14,7029,8.99,31353.0,7.923647630905813,77,Indie,Gonggamorecontents Inc.,Gonggamorecontents Inc.,2323810
Futanari di Funghi,2024-06-03,5273,6.99,31301.0,5.102718338234958,81,Indie,Shady Corner Games,Ahegames,2496640
Brothel Secrets 🔞,2024-01-27,5429,9.99,31198.0,1.60275482219499,77,Indie,Octo Games,Octo Games,2721240
Roommates,2024-02-07,4147,9.99,31098.0,3.815552727126738,93,Indie,Octaday,Octaday,2775110
SANYA,2024-03-01,2638,14.99,31003.0,1.465351068896308,75,Indie,helpnode,helpnode,1667360
"Sex, Camera, Action! 🔞",2024-07-27,5419,9.99,30951.0,1.8185943631721628,78,Indie,Play & Cum 💦,Play & Cum 💦,2955820
Decimate Drive,2024-02-25,4570,7.99,30948.0,1.3102211414602636,93,Indie,Some Random Designing,Some Random Designing,2427950
Unbeatable professional me with 100 girlfriends,2024-05-17,3760,9.99,30925.0,2.531206269062915,66,Indie,Day Day Up！,philosophy♂,2701420
Tomboy: Love in Hot Forge,2024-02-29,10169,3.99,30878.0,1.3421321457630302,88,Indie,NSFW18 Games,Zylyx,2732730
Monster Tiles TD: Tower Wars,2024-02-11,25912,0.0,30820.0,23.330226717446127,80,Indie,Swell Games LLC,Swell Games LLC,2447060
Sex City: 2069,2024-07-20,3751,14.99,30759.0,1.5297924373325982,65,Indie,Octo Games,Octo Games,2487130
Harvest Days: My Dream Farm,2024-07-25,3482,14.99,30652.0,18.14147562360472,71,Indie,"Family Devs,Toplitz Productions",Family Devs,1515320
GUNVOLT RECORDS Cychronicle,2024-02-15,2470,14.99,30558.0,3.17849779945142,71,Indie,"INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",2585040
BeachHead,2024-01-22,3520,14.99,30498.0,18.152256882140843,63,Indie,Digital Fusion Inc.,Digital Fusion Inc.,1288790
Witch's Doll,2024-05-24,4909,6.99,30419.0,1.8276383459174887,88,Indie,Elite Lords Studios,Elite Lords Studios,2892000
Anno 1701 History Edition,2024-04-22,6151,9.99,30243.0,10.459053119326525,76,AAA,Ubisoft,Ubisoft Mainz,2820140
IIslands of War,2024-03-10,3885,4.99,30192.0,11.074408043059782,87,Indie,jwiggs,jwiggs,1162470
GIRLDIVERS,2024-08-30,2795,14.99,30160.0,1.5064797203365987,93,Indie,Sweet Cakes Games,Sweet Cakes Games,2892310
Forsaken Quartet,2024-05-17,3187,12.99,30108.0,3.950541244010975,79,Indie,Kagura Games,AVANTGARDE,2377410
Unlucky Seven,2024-02-06,5591,7.99,30099.0,2.2119974374852376,47,Indie,"SIG Publishing,Art Games Studio S.A.",Puzzling Dream,579120
Scourge Of War - Remastered,2024-09-06,1747,18.99,29857.0,10.641074576383453,92,Indie,Norb Software Development LLC,Norb Software Development LLC,2205330
Primateria,2024-01-08,3145,11.99,29843.0,6.623460498120785,85,Indie,Surefire.Games,Yfrit Games,1397130
Mutant Football League 2,2024-05-31,1325,24.99,29800.0,3.841531165408143,84,Indie,Digital Dreams Entertainment,Digital Dreams Entertainment,1657320
